/*****************spider report ********************/
================= dispatcher:
connect_pool_size:100 connect_used_count:0

================= sites:
site0=>host:movie.douban.com;  dir:movie.douban.com;  hashsize:10000
unscraped_pages:0; scraping_pages:0; scraped_pages:0; parsed_pages:239
0=>  status:3;  httpStatus:200;  hashCode:47;  title:;  path:/;  parent:undefined
1=>  status:3;  httpStatus:200;  hashCode:1257;  title:;  path:/subject/1291843/;  parent:/
2=>  status:3;  httpStatus:200;  hashCode:1256;  title:;  path:/subject/3821067/;  parent:/
3=>  status:3;  httpStatus:200;  hashCode:1260;  title:;  path:/subject/6307447/;  parent:/
4=>  status:3;  httpStatus:200;  hashCode:1902;  title:;  path:/photos/photo/987348767/;  parent:/subject/1291843/
5=>  status:3;  httpStatus:200;  hashCode:1894;  title:;  path:/photos/photo/456560979/;  parent:/subject/1291843/
6=>  status:3;  httpStatus:200;  hashCode:1939;  title:;  path:/photos/photo/1283575089/;  parent:/subject/1291843/
7=>  status:3;  httpStatus:200;  hashCode:1892;  title:;  path:/photos/photo/987346174/;  parent:/subject/1291843/
8=>  status:3;  httpStatus:200;  hashCode:1304;  title:;  path:/subject/11610693/;  parent:/
9=>  status:3;  httpStatus:200;  hashCode:1929;  title:;  path:/photos/photo/1283544065/;  parent:/subject/1291843/
10=>  status:3;  httpStatus:200;  hashCode:1253;  title:;  path:/subject/1292226/;  parent:/subject/1291843/
11=>  status:3;  httpStatus:200;  hashCode:1258;  title:;  path:/subject/1293572/;  parent:/subject/1291843/
12=>  status:3;  httpStatus:200;  hashCode:1251;  title:;  path:/subject/1302079/;  parent:/subject/1291843/
13=>  status:3;  httpStatus:200;  hashCode:1259;  title:;  path:/subject/1905780/;  parent:/subject/1291843/
14=>  status:3;  httpStatus:200;  hashCode:1285;  title:;  path:/people/Isend/;  parent:/subject/1291843/
15=>  status:3;  httpStatus:200;  hashCode:1360;  title:;  path:/people/wf2031830/;  parent:/subject/1291843/
16=>  status:3;  httpStatus:200;  hashCode:1934;  title:;  path:/people/believelife/;  parent:/subject/1291843/
17=>  status:3;  httpStatus:200;  hashCode:1252;  title:;  path:/subject/1306607/;  parent:/subject/1291843/
18=>  status:3;  httpStatus:200;  hashCode:1208;  title:;  path:/people/65438741/;  parent:/subject/1291843/
19=>  status:3;  httpStatus:200;  hashCode:1247;  title:;  path:/subject/3530403/;  parent:/subject/1291843/
20=>  status:3;  httpStatus:200;  hashCode:1248;  title:;  path:/subject/3136240/;  parent:/subject/1291843/
21=>  status:3;  httpStatus:200;  hashCode:1865;  title:;  path:/people/minimalist/;  parent:/subject/1291843/
22=>  status:3;  httpStatus:200;  hashCode:1926;  title:;  path:/photos/photo/1116745550/;  parent:/subject/3821067/
23=>  status:3;  httpStatus:200;  hashCode:1931;  title:;  path:/photos/photo/1834308931/;  parent:/subject/3821067/
24=>  status:3;  httpStatus:200;  hashCode:1886;  title:;  path:/photos/photo/840371497/;  parent:/subject/3821067/
25=>  status:3;  httpStatus:200;  hashCode:1927;  title:;  path:/photos/photo/1814046723/;  parent:/subject/3821067/
26=>  status:3;  httpStatus:200;  hashCode:1266;  title:;  path:/subject/1958194/;  parent:/subject/3821067/
27=>  status:3;  httpStatus:200;  hashCode:1264;  title:;  path:/subject/2363876/;  parent:/subject/3821067/
28=>  status:3;  httpStatus:200;  hashCode:1309;  title:;  path:/subject/10537853/;  parent:/subject/3821067/
29=>  status:3;  httpStatus:200;  hashCode:1269;  title:;  path:/subject/5964718/;  parent:/subject/3821067/
30=>  status:3;  httpStatus:200;  hashCode:1250;  title:;  path:/subject/1305345/;  parent:/subject/3821067/
31=>  status:3;  httpStatus:200;  hashCode:1261;  title:;  path:/subject/6875420/;  parent:/subject/3821067/
32=>  status:3;  httpStatus:200;  hashCode:1254;  title:;  path:/subject/6425116/;  parent:/subject/3821067/
33=>  status:3;  httpStatus:200;  hashCode:1198;  title:;  path:/people/41620870/;  parent:/subject/3821067/
34=>  status:3;  httpStatus:200;  hashCode:1932;  title:;  path:/photos/photo/1835602583/;  parent:/subject/3821067/
35=>  status:3;  httpStatus:200;  hashCode:1263;  title:;  path:/subject/3569911/;  parent:/subject/3821067/
36=>  status:3;  httpStatus:200;  hashCode:1937;  title:;  path:/photos/photo/1603996255/;  parent:/subject/6307447/
37=>  status:3;  httpStatus:200;  hashCode:1270;  title:;  path:/subject/3726986/;  parent:/subject/3821067/
38=>  status:3;  httpStatus:200;  hashCode:1556;  title:;  path:/people/xuxindb/;  parent:/subject/3821067/
39=>  status:3;  httpStatus:200;  hashCode:1933;  title:;  path:/photos/photo/1802792256/;  parent:/subject/6307447/
40=>  status:3;  httpStatus:200;  hashCode:1916;  title:;  path:/photos/photo/1823230204/;  parent:/subject/6307447/
41=>  status:3;  httpStatus:200;  hashCode:1302;  title:;  path:/subject/11523148/;  parent:/subject/6307447/
42=>  status:3;  httpStatus:200;  hashCode:1949;  title:;  path:/photos/photo/1567683949/;  parent:/subject/6307447/
43=>  status:3;  httpStatus:200;  hashCode:1220;  title:;  path:/people/65237999/;  parent:/subject/6307447/
44=>  status:3;  httpStatus:200;  hashCode:1195;  title:;  path:/people/27905020/;  parent:/subject/6307447/
45=>  status:3;  httpStatus:200;  hashCode:1205;  title:;  path:/people/62942543/;  parent:/subject/6307447/
46=>  status:3;  httpStatus:200;  hashCode:1275;  title:;  path:/subject/6768838/;  parent:/subject/6307447/
47=>  status:3;  httpStatus:200;  hashCode:1149;  title:;  path:/people/4185072/;  parent:/subject/6307447/
48=>  status:3;  httpStatus:200;  hashCode:1273;  title:;  path:/subject/4888853/;  parent:/subject/6307447/
49=>  status:3;  httpStatus:200;  hashCode:1941;  title:;  path:/photos/photo/1824297638/;  parent:/subject/11610693/
50=>  status:3;  httpStatus:200;  hashCode:1938;  title:;  path:/photos/photo/1824297770/;  parent:/subject/11610693/
51=>  status:3;  httpStatus:200;  hashCode:1944;  title:;  path:/photos/photo/1824298568/;  parent:/subject/11610693/
52=>  status:3;  httpStatus:200;  hashCode:1325;  title:;  path:/subject/19962579/;  parent:/subject/11610693/
53=>  status:3;  httpStatus:200;  hashCode:1770;  title:;  path:/people/shirenxin/;  parent:/subject/11610693/
54=>  status:3;  httpStatus:200;  hashCode:1308;  title:;  path:/subject/10539139/;  parent:/subject/11610693/
55=>  status:3;  httpStatus:200;  hashCode:1306;  title:;  path:/subject/10432937/;  parent:/subject/11610693/
56=>  status:3;  httpStatus:200;  hashCode:1209;  title:;  path:/people/57553932/;  parent:/subject/11610693/
57=>  status:3;  httpStatus:200;  hashCode:1791;  title:;  path:/people/NatalieMOJI/;  parent:/subject/11610693/
58=>  status:3;  httpStatus:200;  hashCode:1300;  title:;  path:/subject/10453730/;  parent:/subject/11610693/
59=>  status:3;  httpStatus:200;  hashCode:1212;  title:;  path:/people/64494087/;  parent:/subject/11610693/
60=>  status:3;  httpStatus:200;  hashCode:1878;  title:;  path:/photos/photo/453483431/;  parent:/subject/1292226/
61=>  status:3;  httpStatus:200;  hashCode:1889;  title:;  path:/photos/photo/937469413/;  parent:/subject/1292226/
62=>  status:3;  httpStatus:200;  hashCode:1928;  title:;  path:/photos/photo/1319806360/;  parent:/subject/1292226/
63=>  status:3;  httpStatus:200;  hashCode:1904;  title:;  path:/photos/photo/598599709/;  parent:/subject/1292226/
64=>  status:3;  httpStatus:200;  hashCode:1204;  title:;  path:/people/45158119/;  parent:/subject/1292226/
65=>  status:3;  httpStatus:200;  hashCode:1265;  title:;  path:/subject/1899630/;  parent:/subject/1292226/
66=>  status:3;  httpStatus:200;  hashCode:1153;  title:;  path:/people/3376093/;  parent:/subject/1292226/
67=>  status:3;  httpStatus:200;  hashCode:1210;  title:;  path:/people/48197605/;  parent:/subject/1292226/
68=>  status:3;  httpStatus:200;  hashCode:1268;  title:;  path:/subject/1291989/;  parent:/subject/1292226/
69=>  status:3;  httpStatus:200;  hashCode:1196;  title:;  path:/people/68260130/;  parent:/subject/1292226/
70=>  status:3;  httpStatus:200;  hashCode:1891;  title:;  path:/photos/photo/495690519/;  parent:/subject/1293572/
71=>  status:3;  httpStatus:200;  hashCode:1914;  title:;  path:/photos/photo/1100041529/;  parent:/subject/1293572/
72=>  status:3;  httpStatus:200;  hashCode:1249;  title:;  path:/subject/1508411/;  parent:/subject/1293572/
73=>  status:3;  httpStatus:200;  hashCode:1245;  title:;  path:/subject/1300282/;  parent:/subject/1293572/
74=>  status:3;  httpStatus:200;  hashCode:1747;  title:;  path:/people/westeagle/;  parent:/subject/1293572/
75=>  status:3;  httpStatus:200;  hashCode:1242;  title:;  path:/subject/1300117/;  parent:/subject/1293572/
76=>  status:3;  httpStatus:200;  hashCode:1207;  title:;  path:/people/64704277/;  parent:/subject/1293572/
77=>  status:3;  httpStatus:200;  hashCode:1553;  title:;  path:/people/yshadow/;  parent:/subject/1293572/
78=>  status:3;  httpStatus:200;  hashCode:1272;  title:;  path:/subject/1886749/;  parent:/subject/1302079/
79=>  status:3;  httpStatus:200;  hashCode:1558;  title:;  path:/people/turtled/;  parent:/subject/1302079/
80=>  status:3;  httpStatus:200;  hashCode:1572;  title:;  path:/people/guoziou/;  parent:/subject/1302079/
81=>  status:3;  httpStatus:200;  hashCode:1421;  title:;  path:/people/cillin/;  parent:/subject/1302079/
82=>  status:3;  httpStatus:200;  hashCode:1940;  title:;  path:/photos/photo/1097162986/;  parent:/subject/1905780/
