/*****************spider report ********************/
================= dispatcher:
connect_pool_size:100 connect_used_count:0

================= sites:
site0=>host:movie.douban.com;  dir:movie.douban.com;  hashsize:10000
unscraped_pages:0; scraping_pages:25; scraped_pages:0; parsed_pages:1792
0=>  status:1;  httpStatus:undefined;  hashCode:1118;  title:;  path:/people/jhz/;  parent:/subject/3821067/
1=>  status:1;  httpStatus:undefined;  hashCode:1151;  title:;  path:/people/1096715/;  parent:/subject/2363876/
2=>  status:1;  httpStatus:undefined;  hashCode:1160;  title:;  path:/review/5732143/;  parent:/subject/3821067/
3=>  status:1;  httpStatus:undefined;  hashCode:1202;  title:;  path:/people/43632482/;  parent:/subject/2363876/
4=>  status:1;  httpStatus:undefined;  hashCode:1254;  title:;  path:/subject/6521902/;  parent:/
5=>  status:1;  httpStatus:undefined;  hashCode:1257;  title:;  path:/subject/6532822/;  parent:/
6=>  status:1;  httpStatus:undefined;  hashCode:1305;  title:;  path:/subject/10355329/;  parent:/
7=>  status:1;  httpStatus:undefined;  hashCode:1309;  title:;  path:/subject/10537853/;  parent:/
8=>  status:1;  httpStatus:undefined;  hashCode:1323;  title:;  path:/subject/19965709/;  parent:/
9=>  status:1;  httpStatus:undefined;  hashCode:1363;  title:;  path:/people/cure101/;  parent:/subject/3821067/
10=>  status:1;  httpStatus:undefined;  hashCode:1447;  title:;  path:/people/anyvin/;  parent:/subject/10527209/
11=>  status:1;  httpStatus:undefined;  hashCode:1565;  title:;  path:/people/cassie111/;  parent:/subject/10527209/
12=>  status:1;  httpStatus:undefined;  hashCode:1615;  title:;  path:/people/baobaodu/;  parent:/subject/2363876/
13=>  status:1;  httpStatus:undefined;  hashCode:1617;  title:;  path:/people/nerida8013/;  parent:/subject/10527209/
14=>  status:1;  httpStatus:undefined;  hashCode:1625;  title:;  path:/people/libramao/;  parent:/subject/10527209/
15=>  status:1;  httpStatus:undefined;  hashCode:1632;  title:;  path:/people/imagefly/;  parent:/subject/3821067/
16=>  status:1;  httpStatus:undefined;  hashCode:1684;  title:;  path:/people/typezero/;  parent:/subject/11502889/
17=>  status:1;  httpStatus:undefined;  hashCode:1753;  title:;  path:/people/fangyunan/;  parent:/subject/2363876/
18=>  status:1;  httpStatus:undefined;  hashCode:1757;  title:;  path:/people/unclesome/;  parent:/subject/11502889/
19=>  status:1;  httpStatus:undefined;  hashCode:1772;  title:;  path:/people/Sherrylxy/;  parent:/subject/2363876/
20=>  status:1;  httpStatus:undefined;  hashCode:1992;  title:;  path:/people/chrislaulxw/;  parent:/subject/11502889/
21=>  status:1;  httpStatus:undefined;  hashCode:2084;  title:;  path:/subject/11502889/reviews;  parent:/subject/11502889/
22=>  status:1;  httpStatus:undefined;  hashCode:2098;  title:;  path:/people/watermmwater/;  parent:/subject/10527209/
23=>  status:1;  httpStatus:undefined;  hashCode:2340;  title:;  path:/tag/%E7%BE%8E%E5%9B%BD%E7%94%B5%E5%BD%B1;  parent:/subject/11502889/
24=>  status:1;  httpStatus:undefined;  hashCode:2743;  title:;  path:/subject/3821067/reviews?score=2;  parent:/subject/3821067/
25=>  status:3;  httpStatus:200;  hashCode:47;  title:;  path:/;  parent:undefined
26=>  status:3;  httpStatus:302;  hashCode:1972;  title:;  path:/subject/11610693/cinema/;  parent:/
27=>  status:3;  httpStatus:302;  hashCode:1932;  title:;  path:/subject/2363876/cinema/;  parent:/
28=>  status:3;  httpStatus:302;  hashCode:1924;  title:;  path:/subject/3821067/cinema/;  parent:/
29=>  status:3;  httpStatus:302;  hashCode:1916;  title:;  path:/subject/4212172/cinema/;  parent:/
30=>  status:3;  httpStatus:200;  hashCode:1264;  title:;  path:/subject/2363876/;  parent:/
31=>  status:3;  httpStatus:200;  hashCode:1256;  title:;  path:/subject/3821067/;  parent:/
32=>  status:3;  httpStatus:200;  hashCode:1308;  title:;  path:/subject/20278174/;  parent:/
33=>  status:3;  httpStatus:200;  hashCode:1304;  title:;  path:/subject/11610693/;  parent:/
34=>  status:3;  httpStatus:200;  hashCode:1248;  title:;  path:/subject/4212172/;  parent:/
35=>  status:3;  httpStatus:302;  hashCode:1976;  title:;  path:/subject/20278174/cinema/;  parent:/
36=>  status:3;  httpStatus:302;  hashCode:1931;  title:;  path:/subject/5502697/cinema/;  parent:/
37=>  status:3;  httpStatus:302;  hashCode:1960;  title:;  path:/subject/11604102/cinema/;  parent:/
38=>  status:3;  httpStatus:302;  hashCode:1978;  title:;  path:/subject/10827168/cinema/;  parent:/
39=>  status:3;  httpStatus:302;  hashCode:1968;  title:;  path:/subject/10751153/cinema/;  parent:/
40=>  status:3;  httpStatus:200;  hashCode:1263;  title:;  path:/subject/5502697/;  parent:/
41=>  status:3;  httpStatus:200;  hashCode:1292;  title:;  path:/subject/11604102/;  parent:/
42=>  status:3;  httpStatus:200;  hashCode:1310;  title:;  path:/subject/10827168/;  parent:/
43=>  status:3;  httpStatus:200;  hashCode:1247;  title:;  path:/subject/3530403/;  parent:/
44=>  status:3;  httpStatus:200;  hashCode:1300;  title:;  path:/subject/10751153/;  parent:/
45=>  status:3;  httpStatus:200;  hashCode:1262;  title:;  path:/subject/6558801/;  parent:/
46=>  status:3;  httpStatus:200;  hashCode:1313;  title:;  path:/subject/20473389/;  parent:/
47=>  status:3;  httpStatus:200;  hashCode:1261;  title:;  path:/subject/2336783/;  parent:/
48=>  status:3;  httpStatus:200;  hashCode:1299;  title:;  path:/subject/10540066/;  parent:/
49=>  status:3;  httpStatus:200;  hashCode:1260;  title:;  path:/subject/6390832/;  parent:/
50=>  status:3;  httpStatus:200;  hashCode:1302;  title:;  path:/subject/11528251/;  parent:/
51=>  status:3;  httpStatus:200;  hashCode:1307;  title:;  path:/subject/10744833/;  parent:/
